twobyte,pri_opcd,sec_opcd
0,D4,0A,
0,D5,0A,
0,D8,D1,
0,D8,D9,
0,D9,C9,
0,D9,D0,
0,D9,E0,
0,D9,E1,
0,D9,E4,
0,D9,E5,
0,D9,E8,
0,D9,E9,
0,D9,EA,
0,D9,EB,
0,D9,EC,
0,D9,ED,
0,D9,EE,
0,D9,F0,
0,D9,F1,
0,D9,F2,
0,D9,F3,
0,D9,F4,
0,D9,F5,
0,D9,F6,
0,D9,F7,
0,D9,F8,
0,D9,F9,
0,D9,FA,
0,D9,FB,
0,D9,FC,
0,D9,FD,
0,D9,FE,
0,D9,FF,
0,DA,E9,
0,DB,E0,
0,DB,E0,
0,DB,E0,
0,DB,E1,
0,DB,E1,
0,DB,E1,
0,DB,E2,
0,DB,E2,
0,DB,E3,
0,DB,E3,
0,DB,E4,
0,DB,E4,
0,DB,E4,
0,DD,E1,
0,DD,E9,
0,DE,C1,
0,DE,C9,
0,DE,D9,
0,DE,E1,
0,DE,E9,
0,DE,F1,
0,DE,F9,
0,DF,E0,
0,DF,E0,
1,1,C1,
1,1,C2,
1,1,C3,
1,1,C4,
1,1,C8,
1,1,C9,
1,1,D0,
1,1,D1,
1,1,F8,
1,1,F9,
1,38,0,
1,38,0,
1,38,1,
1,38,1,
1,38,2,
1,38,2,
1,38,3,
1,38,3,
1,38,4,
1,38,4,
1,38,5,
1,38,5,
1,38,6,
1,38,6,
1,38,7,
1,38,7,
1,38,8,
1,38,8,
1,38,9,
1,38,9,
1,38,0A,
1,38,0A,
1,38,0B,
1,38,0B,
1,38,10,
1,38,14,
1,38,15,
1,38,17,
1,38,1C,
1,38,1C,
1,38,1D,
1,38,1D,
1,38,1E,
1,38,1E,
1,38,20,
1,38,20,
1,38,21,
1,38,21,
1,38,22,
1,38,22,
1,38,23,
1,38,23,
1,38,24,
1,38,24,
1,38,25,
1,38,25,
1,38,28,
1,38,29,
1,38,2A,
1,38,2B,
1,38,30,
1,38,30,
1,38,31,
1,38,31,
1,38,32,
1,38,32,
1,38,33,
1,38,33,
1,38,34,
1,38,34,
1,38,35,
1,38,35,
1,38,37,
1,38,38,
1,38,39,
1,38,3A,
1,38,3B,
1,38,3C,
1,38,3D,
1,38,3E,
1,38,3F,
1,38,40,
1,38,41,
1,38,80,
1,38,80,
1,38,81,
1,38,81,
1,38,F0,
1,38,F0,
1,38,F1,
1,38,F1,
1,3A,8,
1,3A,9,
1,3A,0A,
1,3A,0B,
1,3A,0C,
1,3A,0D,
1,3A,0E,
1,3A,0F,
1,3A,0F,
1,3A,14,
1,3A,14,
1,3A,15,
1,3A,15,
1,3A,16,
1,3A,16,
1,3A,17,
1,3A,20,
1,3A,20,
1,3A,21,
1,3A,21,
1,3A,22,
1,3A,22,
1,3A,40,
1,3A,41,
1,3A,42,
1,3A,60,
1,3A,61,
1,3A,62,
1,3A,63,
